year,country,(ISO),Refugees,Asylum-seekers,total
2013,Albania,ALB,0,15,15
2013,Algeria,DZA,0,1079,1079
2013,Egypt,EGY,131659,0,131659
2013,Argentina,ARG,159,12,171
2013,Armenia,ARM,11090,42,11132
2013,Australia,AUS,265,138,403
2013,Austria,AUT,2748,1561,4309
2013,Azerbaijan,AZE,9,5,14
2013,Belgium,BEL,1987,378,2365
2013,Belarus,BLR,35,25,60
2013,Bolivia (Plurinational State of),BOL,5,0,5
2013,Brazil,BRA,333,70,403
2013,Bosnia and Herzegovina,BIH,48,18,66
2013,Bulgaria,BGR,2104,2500,4604
2013,Canada,CAN,592,435,1027
2013,Chad,TCD,15,0,15
2013,Chile,CHL,5,5,10
2013,Cameroon,CMR,0,7,7
2013,Costa Rica,CRI,0,5,5
2013,Cuba,CUB,24,0,24
2013,Cyprus,CYP,316,1319,1635
2013,Czechia,CZE,149,25,174
2013,Denmark,DNK,3271,86,3357
2013,Dominican Rep.,DOM,5,0,5
2013,Ecuador,ECU,11,5,16
2013,Estonia,EST,0,10,10
2013,Finland,FIN,352,77,429
2013,France,FRA,1474,343,1817
2013,United Kingdom of Great Britain and Northern Ireland,GBR,3169,641,3810
2013,Georgia,GEO,516,26,542
2013,Germany,DEU,21253,10566,31819
2013,Ghana,GHA,0,55,55
2013,Greece,GRC,195,1665,1860
2013,Croatia,HRV,22,36,58
2013,Hungary,HUN,141,184,325
2013,Iceland,ISL,7,10,17
2013,Cote d'Ivoire,CIV,0,12,12
2013,India,IND,18,12,30
2013,Indonesia,IDN,36,43,79
2013,Ireland,IRL,71,13,84
2013,Iraq,IRQ,212809,1164,213973
2013,Italy,ITA,840,278,1118
2013,Jordan,JOR,585304,0,585304
2013,Japan,JPN,26,0,26
2013,Kazakhstan,KAZ,7,21,28
2013,Kyrgyzstan,KGZ,14,78,92
2013,Rep. of Korea,KOR,0,431,431
2013,Kuwait,KWT,13,8,21
2013,Liberia,LBR,0,8,8
2013,Libya,LBY,16796,0,16796
2013,Lebanon,LBN,851284,332,851616
2013,Lithuania,LTU,18,5,23
2013,Luxembourg,LUX,5,23,28
2013,Latvia,LVA,33,12,45
2013,Mauritania,MRT,5,41,46
2013,North Macedonia,MKD,0,205,205
2013,Rep. of Moldova,MDA,139,27,166
2013,Mexico,MEX,13,0,13
2013,Malaysia,MYS,101,720,821
2013,Montenegro,MNE,0,60,60
2013,Mongolia,MNG,0,5,5
2013,Morocco,MAR,856,0,856
2013,Malta,MLT,776,102,878
2013,Netherlands,NLD,3404,0,3404
2013,Niger,NER,6,0,6
2013,Nigeria,NGA,9,10,19
2013,Norway,NOR,1311,259,1570
2013,New Zealand,NZL,43,7,50
2013,Oman,OMN,7,5,12
2013,Pakistan,PAK,13,0,13
2013,Peru,PER,5,0,5
2013,Philippines,PHL,7,21,28
2013,Poland,POL,108,100,208
2013,Portugal,PRT,14,8,22
2013,Qatar,QAT,8,0,8
2013,Romania,ROU,932,91,1023
2013,South Africa,ZAF,8,10,18
2013,Russian Federation,RUS,1163,839,2002
2013,Saudi Arabia,SAU,14,12,26
2013,Senegal,SEN,0,5,5
2013,Somalia,SOM,0,8,8
2013,Spain,ESP,180,743,923
2013,Serbia and Kosovo: S/RES/1244 (1999),SRB,5,60,65
2013,Sudan,SDN,84,224,308
2013,Slovakia,SVK,26,0,26
2013,Slovenia,SVN,9,0,9
2013,Sweden,SWE,17984,6808,24792
2013,Switzerland,CHE,2012,2849,4861
2013,United Rep. of Tanzania,TZA,0,6,6
2013,Thailand,THA,44,144,188
2013,Tunisia,TUN,164,0,164
2013,Turkey,TUR,585601,110,585711
2013,United Arab Emirates,ARE,16,14,30
2013,Uganda,UGA,0,8,8
2013,Ukraine,UKR,167,591,758
2013,United States of America,USA,3802,1378,5180
2013,Yemen,YEM,54,1761,1815
2013,Zambia,ZMB,0,5,5
