year,country,(ISO),Refugees,Asylum-seekers,total
2015,Albania,ALB,5,0,5
2015,Algeria,DZA,0,6211,6211
2015,Antigua and Barbuda,ATG,15,0,15
2015,Egypt,EGY,117635,0,117635
2015,Argentina,ARG,276,98,374
2015,Armenia,ARM,16611,11,16622
2015,Australia,AUS,301,134,435
2015,Austria,AUT,14894,18669,33563
2015,Azerbaijan,AZE,8,7,15
2015,Belgium,BEL,4239,3870,8109
2015,Belarus,BLR,138,7,145
2015,Bolivia (Plurinational State of),BOL,7,0,7
2015,Brazil,BRA,2271,1154,3425
2015,Bosnia and Herzegovina,BIH,14,5,19
2015,Bulgaria,BGR,13819,1683,15502
2015,Canada,CAN,1513,235,1748
2015,Central African Rep.,CAF,0,8,8
2015,Chad,TCD,6,22,28
2015,China,CHN,14,24,38
2015,Chile,CHL,13,11,24
2015,Cameroon,CMR,15,7,22
2015,Congo,COG,5,5,10
2015,Dem. Rep. of the Congo,COD,7,0,7
2015,Colombia,COL,7,0,7
2015,Costa Rica,CRI,8,0,8
2015,Cuba,CUB,41,0,41
2015,Curacao ,CUW,0,5,5
2015,Cyprus,CYP,3110,692,3802
2015,Czechia,CZE,365,42,407
2015,Denmark,DNK,12988,825,13813
2015,Djibouti,DJI,5,0,5
2015,Ecuador,ECU,17,0,17
2015,Estonia,EST,6,0,6
2015,Ethiopia,ETH,9,15,24
2015,Finland,FIN,565,705,1270
2015,France,FRA,5179,2711,7890
2015,United Kingdom of Great Britain and Northern Ireland,GBR,6496,1648,8144
2015,Georgia,GEO,475,10,485
2015,Germany,DEU,115604,81582,197186
2015,Ghana,GHA,47,49,96
2015,Greece,GRC,9101,450,9551
2015,Croatia,HRV,23,5,28
2015,Hungary,HUN,476,18607,19083
2015,Iceland,ISL,37,0,37
2015,Cote d'Ivoire,CIV,20,8,28
2015,India,IND,41,20,61
2015,Indonesia,IDN,61,32,93
2015,Ireland,IRL,109,50,159
2015,Iraq,IRQ,244642,0,244642
2015,Italy,ITA,1460,246,1706
2015,Jamaica,JAM,5,0,5
2015,Jordan,JOR,628223,0,628223
2015,Japan,JPN,59,0,59
2015,Kazakhstan,KAZ,23,16,39
2015,Kenya,KEN,9,8,17
2015,Kyrgyzstan,KGZ,55,12,67
2015,Rep. of Korea,KOR,646,320,966
2015,Kuwait,KWT,14,6,20
2015,Liberia,LBR,6,5,11
2015,Libya,LBY,97,18591,18688
2015,Lebanon,LBN,1062690,16,1062706
2015,Liechtenstein,LIE,23,0,23
2015,Sri Lanka,LKA,5,11,16
2015,Lithuania,LTU,23,5,28
2015,Luxembourg,LUX,177,593,770
2015,Latvia,LVA,65,5,70
2015,Mauritania,MRT,215,107,322
2015,North Macedonia,MKD,13,5,18
2015,Rep. of Moldova,MDA,206,8,214
2015,Mexico,MEX,18,0,18
2015,Mali,MLI,82,9,91
2015,Malaysia,MYS,473,829,1302
2015,Morocco,MAR,2619,0,2619
2015,Malta,MLT,1328,161,1489
2015,Netherlands,NLD,16184,12718,28902
2015,Niger,NER,6,0,6
2015,Nigeria,NGA,32,41,73
2015,Norway,NOR,4121,9128,13249
2015,Nauru,NRU,0,5,5
2015,New Zealand,NZL,52,5,57
2015,Oman,OMN,7,5,12
2015,Pakistan,PAK,16,9,25
2015,Paraguay,PRY,30,27,57
2015,Peru,PER,29,0,29
2015,Philippines,PHL,36,40,76
2015,Poland,POL,445,36,481
2015,Portugal,PRT,17,28,45
2015,Qatar,QAT,14,0,14
2015,Romania,ROU,1591,96,1687
2015,South Africa,ZAF,31,58,89
2015,Russian Federation,RUS,1304,393,1697
2015,El Salvador,SLV,5,0,5
2015,Saudi Arabia,SAU,9,0,9
2015,Senegal,SEN,0,21,21
2015,Somalia,SOM,24,101,125
2015,Spain,ESP,1992,3280,5272
2015,Serbia and Kosovo: S/RES/1244 (1999),SRB,11,0,11
2015,Sudan,SDN,2692,527,3219
2015,Slovakia,SVK,47,0,47
2015,Slovenia,SVN,30,9,39
2015,Sweden,SWE,52707,49286,101993
2015,Switzerland,CHE,8695,4462,13157
2015,Sint Maarten (Dutch part),SXM,0,5,5
2015,Thailand,THA,95,243,338
2015,Togo,TGO,5,6,11
2015,Trinidad and Tobago,TTO,22,25,47
2015,Tunisia,TUN,499,0,499
2015,Turkey,TUR,2503549,297,2503846
2015,United Arab Emirates,ARE,36,109,145
2015,Uganda,UGA,6,11,17
2015,Ukraine,UKR,399,566,965
2015,Uruguay,URY,58,9,67
2015,United States of America,USA,5651,3118,8769
2015,Yemen,YEM,3011,615,3626
2015,Zambia,ZMB,6,8,14
