year,country,(ISO),Refugees,Asylum-seekers,total
2012,Albania,ALB,0,5,5
2012,Algeria,DZA,0,236,236
2012,Egypt,EGY,12836,0,12836
2012,Argentina,ARG,40,9,49
2012,Armenia,ARM,136,340,476
2012,Australia,AUS,204,75,279
2012,Austria,AUT,1675,694,2369
2012,Azerbaijan,AZE,5,6,11
2012,Bahrain,BHR,0,5,5
2012,Belgium,BEL,355,938,1293
2012,Belarus,BLR,0,11,11
2012,Brazil,BRA,42,67,109
2012,Bosnia and Herzegovina,BIH,5,26,31
2012,Bulgaria,BGR,97,0,97
2012,Canada,CAN,533,404,937
2012,Chad,TCD,5,0,5
2012,Chile,CHL,0,5,5
2012,Cameroon,CMR,0,5,5
2012,Cuba,CUB,11,5,16
2012,Cyprus,CYP,139,946,1085
2012,Czechia,CZE,54,70,124
2012,Denmark,DNK,1903,115,2018
2012,Dominican Rep.,DOM,7,0,7
2012,Ecuador,ECU,11,0,11
2012,Finland,FIN,218,110,328
2012,France,FRA,640,0,640
2012,United Kingdom of Great Britain and Northern Ireland,GBR,1717,389,2106
2012,Georgia,GEO,140,16,156
2012,Germany,DEU,18165,5986,24151
2012,Greece,GRC,20,0,20
2012,Croatia,HRV,12,40,52
2012,Hungary,HUN,86,0,86
2012,India,IND,6,5,11
2012,Indonesia,IDN,5,48,53
2012,Ireland,IRL,38,11,49
2012,Iraq,IRQ,63586,1185,64771
2012,Italy,ITA,445,507,952
2012,Jordan,JOR,238798,491,239289
2012,Japan,JPN,0,18,18
2012,Kazakhstan,KAZ,0,14,14
2012,Kyrgyzstan,KGZ,7,34,41
2012,Rep. of Korea,KOR,0,146,146
2012,Kuwait,KWT,15,8,23
2012,Libya,LBY,0,3794,3794
2012,Lebanon,LBN,126939,242,127181
2012,Lithuania,LTU,5,5,10
2012,Latvia,LVA,17,15,32
2012,Rep. of Moldova,MDA,55,33,88
2012,Malaysia,MYS,5,83,88
2012,Montenegro,MNE,0,7,7
2012,Morocco,MAR,0,842,842
2012,Malta,MLT,191,139,330
2012,Netherlands,NLD,1449,231,1680
2012,Niger,NER,0,6,6
2012,Norway,NOR,565,306,871
2012,New Zealand,NZL,41,5,46
2012,Oman,OMN,7,5,12
2012,Pakistan,PAK,11,0,11
2012,Philippines,PHL,0,5,5
2012,Poland,POL,17,83,100
2012,Portugal,PRT,0,9,9
2012,Qatar,QAT,8,0,8
2012,Romania,ROU,152,10,162
2012,South Africa,ZAF,0,8,8
2012,Russian Federation,RUS,53,91,144
2012,Saudi Arabia,SAU,14,12,26
2012,Spain,ESP,32,320,352
2012,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,49,49
2012,Sudan,SDN,0,32,32
2012,Slovakia,SVK,24,0,24
2012,Slovenia,SVN,0,8,8
2012,Sweden,SWE,6051,3751,9802
2012,Switzerland,CHE,1391,1692,3083
2012,Thailand,THA,10,60,70
2012,Togo,TGO,0,8,8
2012,Tunisia,TUN,6,30,36
2012,Turkey,TUR,248466,200,248666
2012,United Arab Emirates,ARE,16,14,30
2012,Ukraine,UKR,63,453,516
2012,United States of America,USA,1425,367,1792
2012,Yemen,YEM,42,131,173
