year,country,(ISO),Refugees,Asylum-seekers,total
2011,Algeria,DZA,0,5,5
2011,Egypt,EGY,9,85,94
2011,Armenia,ARM,6,0,6
2011,Australia,AUS,84,66,150
2011,Austria,AUT,903,456,1359
2011,Bahrain,BHR,0,5,5
2011,Belgium,BEL,312,666,978
2011,Brazil,BRA,6,13,19
2011,Bulgaria,BGR,98,70,168
2011,Canada,CAN,547,251,798
2011,Chad,TCD,5,0,5
2011,Cyprus,CYP,137,345,482
2011,Czechia,CZE,23,0,23
2011,Denmark,DNK,1197,93,1290
2011,Ecuador,ECU,11,0,11
2011,Finland,FIN,86,75,161
2011,France,FRA,351,0,351
2011,United Kingdom of Great Britain and Northern Ireland,GBR,693,339,1032
2011,Germany,DEU,10155,4713,14868
2011,Greece,GRC,10,0,10
2011,Croatia,HRV,0,5,5
2011,Hungary,HUN,42,0,42
2011,Indonesia,IDN,0,7,7
2011,Ireland,IRL,27,17,44
2011,Iraq,IRQ,323,1391,1714
2011,Italy,ITA,262,0,262
2011,Jordan,JOR,193,2618,2811
2011,Kyrgyzstan,KGZ,9,10,19
2011,Kuwait,KWT,10,10,20
2011,Lebanon,LBN,124,368,492
2011,Lithuania,LTU,5,0,5
2011,Latvia,LVA,5,11,16
2011,"China, Macao SAR",MAC,0,5,5
2011,Rep. of Moldova,MDA,11,10,21
2011,Malaysia,MYS,5,8,13
2011,Morocco,MAR,0,5,5
2011,Malta,MLT,80,72,152
2011,Netherlands,NLD,1064,231,1295
2011,Norway,NOR,171,336,507
2011,New Zealand,NZL,35,0,35
2011,Oman,OMN,7,5,12
2011,Pakistan,PAK,8,0,8
2011,Poland,POL,10,10,20
2011,Qatar,QAT,8,0,8
2011,Romania,ROU,20,27,47
2011,Russian Federation,RUS,5,13,18
2011,Saudi Arabia,SAU,14,12,26
2011,Spain,ESP,32,0,32
2011,Slovakia,SVK,23,0,23
2011,Slovenia,SVN,0,6,6
2011,Sweden,SWE,1206,485,1691
2011,Switzerland,CHE,1074,1066,2140
2011,Thailand,THA,0,8,8
2011,Tunisia,TUN,11,0,11
2011,Turkey,TUR,19,205,224
2011,United Arab Emirates,ARE,37,6,43
2011,Ukraine,UKR,43,176,219
2011,United States of America,USA,373,112,485
2011,Yemen,YEM,42,24,66
