year,country,(ISO),Refugees,Asylum-seekers,total
2014,Albania,ALB,5,8,13
2014,Algeria,DZA,0,4108,4108
2014,Egypt,EGY,138381,0,138381
2014,Argentina,ARG,233,22,255
2014,Armenia,ARM,14994,9,15003
2014,Australia,AUS,302,172,474
2014,Austria,AUT,6653,0,6653
2014,Azerbaijan,AZE,7,7,14
2014,Belgium,BEL,2620,733,3353
2014,Belarus,BLR,72,48,120
2014,Bolivia (Plurinational State of),BOL,6,0,6
2014,Brazil,BRA,1739,76,1815
2014,Bosnia and Herzegovina,BIH,25,0,25
2014,Bulgaria,BGR,8501,2510,11011
2014,Canada,CAN,705,184,889
2014,Central African Rep.,CAF,0,8,8
2014,Chad,TCD,15,5,20
2014,China,CHN,5,0,5
2014,Chile,CHL,6,10,16
2014,Cameroon,CMR,0,11,11
2014,Colombia,COL,5,0,5
2014,Costa Rica,CRI,5,5,10
2014,Cuba,CUB,20,0,20
2014,Cyprus,CYP,1451,1110,2561
2014,Czechia,CZE,236,54,290
2014,Denmark,DNK,7253,1468,8721
2014,Djibouti,DJI,0,5,5
2014,Ecuador,ECU,13,0,13
2014,Estonia,EST,6,5,11
2014,Ethiopia,ETH,0,8,8
2014,Finland,FIN,438,55,493
2014,France,FRA,2882,1239,4121
2014,United Kingdom of Great Britain and Northern Ireland,GBR,4573,1329,5902
2014,Georgia,GEO,471,35,506
2014,Germany,DEU,40994,29591,70585
2014,Ghana,GHA,5,73,78
2014,Greece,GRC,3913,182,4095
2014,Croatia,HRV,22,6,28
2014,Hungary,HUN,334,823,1157
2014,Iceland,ISL,7,5,12
2014,Cote d'Ivoire,CIV,5,16,21
2014,India,IND,27,18,45
2014,Indonesia,IDN,43,42,85
2014,Ireland,IRL,176,12,188
2014,Iraq,IRQ,234196,1225,235421
2014,Italy,ITA,1144,331,1475
2014,Jamaica,JAM,5,0,5
2014,Jordan,JOR,623112,0,623112
2014,Japan,JPN,41,12,53
2014,Kazakhstan,KAZ,14,29,43
2014,Kenya,KEN,0,5,5
2014,Kyrgyzstan,KGZ,56,16,72
2014,Rep. of Korea,KOR,503,64,567
2014,Kuwait,KWT,15,7,22
2014,Liberia,LBR,6,0,6
2014,Libya,LBY,18653,0,18653
2014,Lebanon,LBN,1147494,418,1147912
2014,Liechtenstein,LIE,5,0,5
2014,Sri Lanka,LKA,5,5,10
2014,Lithuania,LTU,20,5,25
2014,Luxembourg,LUX,59,59,118
2014,Latvia,LVA,52,17,69
2014,Mauritania,MRT,41,54,95
2014,North Macedonia,MKD,11,654,665
2014,Rep. of Moldova,MDA,186,22,208
2014,Mexico,MEX,13,6,19
2014,Mali,MLI,16,0,16
2014,Malaysia,MYS,447,530,977
2014,Montenegro,MNE,0,36,36
2014,Mongolia,MNG,5,0,5
2014,Morocco,MAR,647,0,647
2014,Malta,MLT,1047,34,1081
2014,Netherlands,NLD,8692,2323,11015
2014,Niger,NER,6,0,6
2014,Nigeria,NGA,11,17,28
2014,Norway,NOR,2568,828,3396
2014,Nauru,NRU,0,5,5
2014,New Zealand,NZL,48,6,54
2014,Oman,OMN,7,6,13
2014,Pakistan,PAK,16,0,16
2014,Paraguay,PRY,7,9,16
2014,Peru,PER,20,0,20
2014,Philippines,PHL,19,35,54
2014,Poland,POL,240,34,274
2014,Portugal,PRT,15,15,30
2014,Qatar,QAT,14,0,14
2014,Romania,ROU,1278,112,1390
2014,South Africa,ZAF,28,36,64
2014,Russian Federation,RUS,1927,413,2340
2014,Saudi Arabia,SAU,18,12,30
2014,Senegal,SEN,0,21,21
2014,Somalia,SOM,0,63,63
2014,Spain,ESP,1336,781,2117
2014,Serbia and Kosovo: S/RES/1244 (1999),SRB,6,238,244
2014,Sudan,SDN,797,238,1035
2014,Slovakia,SVK,40,0,40
2014,Slovenia,SVN,20,8,28
2014,Sweden,SWE,34285,19011,53296
2014,Switzerland,CHE,5161,3501,8662
2014,Thailand,THA,82,168,250
2014,Togo,TGO,0,6,6
2014,Trinidad and Tobago,TTO,8,13,21
2014,Tunisia,TUN,558,0,558
2014,Turkey,TUR,1557899,250,1558149
2014,United Arab Emirates,ARE,28,12,40
2014,Uganda,UGA,0,13,13
2014,Ukraine,UKR,341,593,934
2014,Uruguay,URY,48,11,59
2014,United States of America,USA,4750,2302,7052
2014,Yemen,YEM,2276,1039,3315
2014,Zambia,ZMB,0,9,9
